Log:
DateTime: 21.03 12.10.2025.

Model: ResNet101
Loss function: CrossEntropyLoss
Optimizer: SGD

HyperParameters:
- Number of epochs: 3
- Batch size: 128
- Learning rate: 0.001


ConsoleLog:
Streaming output truncated to the last 5000 lines.
Training:  29% 369/1293 [01:16<03:07,  4.92batch/s, Train loss=1.1448, Train accuracy=0.4387]
Training:  35% 459/1293 [01:34<02:48,  4.94batch/s, Train loss=1.1451, Train accuracy=0.4394]
Training:  35% 459/1293 [01:34<02:48,  4.94batch/s, Train loss=1.1452, Train accuracy=0.4394]
Training:  36% 460/1293 [01:34<02:48,  4.94batch/s, Train loss=1.1452, Train accuracy=0.4394]
Training:  36% 460/1293 [01:35<02:48,  4.94batch/s, Train loss=1.1451, Train accuracy=0.4395]
Training:  36% 461/1293 [01:35<02:48,  4.95batch/s, Train loss=1.1451, Train accuracy=0.4395]
Training:  36% 461/1293 [01:35<02:48,  4.95batch/s, Train loss=1.1455, Train accuracy=0.4394]
Training:  36% 462/1293 [01:35<02:47,  4.95batch/s, Train loss=1.1455, Train accuracy=0.4394]
Training:  36% 462/1293 [01:35<02:47,  4.95batch/s, Train loss=1.1456, Train accuracy=0.4393]
Training:  36% 463/1293 [01:35<02:47,  4.94batch/s, Train loss=1.1456, Train accuracy=0.4393]
Training:  36% 463/1293 [01:35<02:47,  4.94batch/s, Train loss=1.1460, Train accuracy=0.4392]
Training:  36% 464/1293 [01:35<02:47,  4.96batch/s, Train loss=1.1460, Train accuracy=0.4392]
Training:  36% 464/1293 [01:35<02:47,  4.96batch/s, Train loss=1.1459, Train accuracy=0.4390]
Training:  36% 465/1293 [01:35<02:51,  4.82batch/s, Train loss=1.1459, Train accuracy=0.4390]
Training:  36% 465/1293 [01:36<02:51,  4.82batch/s, Train loss=1.1458, Train accuracy=0.4390]
Training:  36% 466/1293 [01:36<02:52,  4.80batch/s, Train loss=1.1458, Train accuracy=0.4390]
Training:  36% 466/1293 [01:36<02:52,  4.80batch/s, Train loss=1.1456, Train accuracy=0.4392]
Training:  36% 467/1293 [01:36<02:51,  4.82batch/s, Train loss=1.1456, Train accuracy=0.4392]
Training:  36% 467/1293 [01:36<02:51,  4.82batch/s, Train loss=1.1454, Train accuracy=0.4394]
Training:  36% 468/1293 [01:36<02:52,  4.79batch/s, Train loss=1.1454, Train accuracy=0.4394]
Training:  36% 468/1293 [01:36<02:52,  4.79batch/s, Train loss=1.1458, Train accuracy=0.4392]
Training:  36% 469/1293 [01:36<02:51,  4.80batch/s, Train loss=1.1458, Train accuracy=0.4392]
Training:  36% 469/1293 [01:37<02:51,  4.80batch/s, Train loss=1.1459, Train accuracy=0.4391]
Training:  36% 470/1293 [01:37<02:54,  4.72batch/s, Train loss=1.1459, Train accuracy=0.4391]
Training:  36% 470/1293 [01:37<02:54,  4.72batch/s, Train loss=1.1458, Train accuracy=0.4392]
Training:  36% 471/1293 [01:37<03:00,  4.54batch/s, Train loss=1.1458, Train accuracy=0.4392]
Training:  36% 471/1293 [01:37<03:00,  4.54batch/s, Train loss=1.1456, Train accuracy=0.4392]
Training:  37% 472/1293 [01:37<02:58,  4.60batch/s, Train loss=1.1456, Train accuracy=0.4392]
Training:  37% 472/1293 [01:37<02:58,  4.60batch/s, Train loss=1.1457, Train accuracy=0.4392]
Training:  37% 473/1293 [01:37<02:55,  4.66batch/s, Train loss=1.1457, Train accuracy=0.4392]
Training:  37% 473/1293 [01:37<02:55,  4.66batch/s, Train loss=1.1455, Train accuracy=0.4391]
Training:  37% 474/1293 [01:37<02:54,  4.70batch/s, Train loss=1.1455, Train accuracy=0.4391]
Training:  37% 474/1293 [01:38<02:54,  4.70batch/s, Train loss=1.1454, Train accuracy=0.4391]
Training:  37% 475/1293 [01:38<02:55,  4.67batch/s, Train loss=1.1454, Train accuracy=0.4391]
Training:  37% 475/1293 [01:38<02:55,  4.67batch/s, Train loss=1.1452, Train accuracy=0.4392]
Training:  37% 476/1293 [01:38<02:53,  4.70batch/s, Train loss=1.1452, Train accuracy=0.4392]
Training:  37% 476/1293 [01:38<02:53,  4.70batch/s, Train loss=1.1456, Train accuracy=0.4391]
Training:  37% 477/1293 [01:38<02:55,  4.65batch/s, Train loss=1.1456, Train accuracy=0.4391]
Training:  37% 477/1293 [01:38<02:55,  4.65batch/s, Train loss=1.1457, Train accuracy=0.4391]
Training:  37% 478/1293 [01:38<02:56,  4.61batch/s, Train loss=1.1457, Train accuracy=0.4391]
Training:  37% 478/1293 [01:38<02:56,  4.61batch/s, Train loss=1.1454, Train accuracy=0.4392]
Training:  37% 479/1293 [01:38<02:56,  4.62batch/s, Train loss=1.1454, Train accuracy=0.4392]
Training:  37% 479/1293 [01:39<02:56,  4.62batch/s, Train loss=1.1453, Train accuracy=0.4392]
Training:  37% 480/1293 [01:39<02:57,  4.58batch/s, Train loss=1.1453, Train accuracy=0.4392]
Training:  37% 480/1293 [01:39<02:57,  4.58batch/s, Train loss=1.1455, Train accuracy=0.4390]
Training:  37% 481/1293 [01:39<02:53,  4.69batch/s, Train loss=1.1455, Train accuracy=0.4390]
Training:  37% 481/1293 [01:39<02:53,  4.69batch/s, Train loss=1.1453, Train accuracy=0.4391]
Training:  37% 482/1293 [01:39<02:49,  4.77batch/s, Train loss=1.1453, Train accuracy=0.4391]
Training:  37% 482/1293 [01:39<02:49,  4.77batch/s, Train loss=1.1454, Train accuracy=0.4392]
Training:  37% 483/1293 [01:39<02:48,  4.82batch/s, Train loss=1.1454, Train accuracy=0.4392]
Training:  37% 483/1293 [01:40<02:48,  4.82batch/s, Train loss=1.1457, Train accuracy=0.4392]
Training:  37% 484/1293 [01:40<02:47,  4.82batch/s, Train loss=1.1457, Train accuracy=0.4392]
Training:  37% 484/1293 [01:40<02:47,  4.82batch/s, Train loss=1.1454, Train accuracy=0.4392]
Training:  38% 485/1293 [01:40<02:46,  4.84batch/s, Train loss=1.1454, Train accuracy=0.4392]
Training:  38% 485/1293 [01:40<02:46,  4.84batch/s, Train loss=1.1455, Train accuracy=0.4391]
Training:  38% 486/1293 [01:40<02:46,  4.85batch/s, Train loss=1.1455, Train accuracy=0.4391]
Training:  38% 486/1293 [01:40<02:46,  4.85batch/s, Train loss=1.1453, Train accuracy=0.4391]
Training:  38% 487/1293 [01:40<02:45,  4.87batch/s, Train loss=1.1453, Train accuracy=0.4391]
Training:  38% 487/1293 [01:40<02:45,  4.87batch/s, Train loss=1.1452, Train accuracy=0.4390]
Training:  38% 488/1293 [01:40<02:44,  4.90batch/s, Train loss=1.1452, Train accuracy=0.4390]
Training:  38% 488/1293 [01:41<02:44,  4.90batch/s, Train loss=1.1453, Train accuracy=0.4390]
Training:  38% 489/1293 [01:41<02:44,  4.88batch/s, Train loss=1.1453, Train accuracy=0.4390]
Training:  38% 489/1293 [01:41<02:44,  4.88batch/s, Train loss=1.1450, Train accuracy=0.4390]
Training:  38% 490/1293 [01:41<02:43,  4.91batch/s, Train loss=1.1450, Train accuracy=0.4390]
Training:  38% 490/1293 [01:41<02:43,  4.91batch/s, Train loss=1.1449, Train accuracy=0.4390]
Training:  38% 491/1293 [01:41<02:44,  4.86batch/s, Train loss=1.1449, Train accuracy=0.4390]
Training:  38% 491/1293 [01:41<02:44,  4.86batch/s, Train loss=1.1451, Train accuracy=0.4390]
Training:  38% 492/1293 [01:41<02:44,  4.88batch/s, Train loss=1.1451, Train accuracy=0.4390]
Training:  38% 492/1293 [01:41<02:44,  4.88batch/s, Train loss=1.1452, Train accuracy=0.4390]
Training:  38% 493/1293 [01:41<02:45,  4.83batch/s, Train loss=1.1452, Train accuracy=0.4390]
Training:  38% 493/1293 [01:42<02:45,  4.83batch/s, Train loss=1.1453, Train accuracy=0.4389]
Training:  38% 494/1293 [01:42<02:44,  4.86batch/s, Train loss=1.1453, Train accuracy=0.4389]
Training:  38% 494/1293 [01:42<02:44,  4.86batch/s, Train loss=1.1454, Train accuracy=0.4391]
Training:  38% 495/1293 [01:42<02:43,  4.89batch/s, Train loss=1.1454, Train accuracy=0.4391]
Training:  38% 495/1293 [01:42<02:43,  4.89batch/s, Train loss=1.1450, Train accuracy=0.4392]
Training:  38% 496/1293 [01:42<02:42,  4.90batch/s, Train loss=1.1450, Train accuracy=0.4392]
Training:  38% 496/1293 [01:42<02:42,  4.90batch/s, Train loss=1.1450, Train accuracy=0.4391]
Training:  38% 497/1293 [01:42<02:42,  4.91batch/s, Train loss=1.1450, Train accuracy=0.4391]
Training:  38% 497/1293 [01:42<02:42,  4.91batch/s, Train loss=1.1449, Train accuracy=0.4391]
